id,qname,heading,text,type,diagram,website,updated
,WeeklyRecurringEvent,WeeklyRecurringEvent,"A WeeklyRecurringEvent recurs on the regularly on the same day of the week, as specified by the schema:dayOfWeek property.",Class,https://w3id.org/citydata/part1/v1/diagrams/WeeklyRecurringEvent.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/WeeklyRecurringEvent'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Organization,Organization,"A collection of people organized together into a community or other social, commercial or political structure. The group has some common purpose or reason for existence which goes beyond the set of people belonging to it. An organization may itself be able to act as an agent.
        In addition to the standard org:Organization pattern, this ontology defines an cdm1:Organization to be a subclass of an cdm1:Agent.",Class,https://w3id.org/citydata/part1/v1/diagrams/Organization.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Organization'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Geo_Position_unit,Geo_Position_unit,Reference systems to indicate geographic position.,Class,https://w3id.org/citydata/part1/v1/diagrams/Geo_Position_unit.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Geo_Position_unit'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Length,length,"Length is the amount of space between two geographical points along a curve. It is a base quantity in the International System of Units and other systems of units. Length is speed times time. The metre, a base unit of length in the International System of Units, is defined in terms of speed of light during a certain time interval.",Class,https://w3id.org/citydata/part1/v1/diagrams/Length.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Length'>Web</a></body></html>,2026-08-12T21:21:48.524828
,TerminalResourceState,TerminalResourceState,,Class,https://w3id.org/citydata/part1/v1/diagrams/TerminalResourceState.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/TerminalResourceState'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Ratio,ratio,"A ratio is a comparison of two quantities, often expressed as a fraction or in the form a:b.",Class,https://w3id.org/citydata/part1/v1/diagrams/Ratio.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Ratio'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Volume,volume,Volume is a measure of how much three-dimensional space any phenomenon occupies. ,Class,https://w3id.org/citydata/part1/v1/diagrams/Volume.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Volume'>Web</a></body></html>,2026-08-12T21:21:48.524828
,AgentThing,AgentThing,"Added for organizational purposes, to identify all classes defined in the Agent pattern.",Class,https://w3id.org/citydata/part1/v1/diagrams/AgentThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/AgentThing'>Web</a></body></html>,2026-08-12T21:21:48.524828
,CapacitySize,CapacitySize,,Class,https://w3id.org/citydata/part1/v1/diagrams/CapacitySize.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/CapacitySize'>Web</a></body></html>,2026-08-12T21:21:48.524828
,TimeUnit,time unit,A specified system of units for time.,Class,https://w3id.org/citydata/part1/v1/diagrams/TimeUnit.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/TimeUnit'>Web</a></body></html>,2026-08-12T21:21:48.524828
,ConjunctiveAgreement,ConjunctiveAgreement,A conjunctive agreement is a complex agreement where all sub-agreements must be satisfied for the overall agreement to hold.,Class,https://w3id.org/citydata/part1/v1/diagrams/ConjunctiveAgreement.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/ConjunctiveAgreement'>Web</a></body></html>,2026-08-12T21:21:48.524828
,RecurringEventThing,RecurringEventThing,Class added for organizational purposes only; to group all classes defined in the recurring-event ontology.,Class,https://w3id.org/citydata/part1/v1/diagrams/RecurringEventThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/RecurringEventThing'>Web</a></body></html>,2026-08-12T21:21:48.524828
,LengthUnit,length unit,A specified system of units for distance.,Class,https://w3id.org/citydata/part1/v1/diagrams/LengthUnit.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/LengthUnit'>Web</a></body></html>,2026-08-12T21:21:48.524828
,State,State,"A State describes some situation in the world which may or may not be satisfied (true) at a given point in time. A State refers to a class of manifestations. It may be a precondition or effect of some Activity, or more generally it may be enabled or be caused by some Activity. If a state is complex, it may refer to some combination of classes of manifestations.
        Example: A shopping activity, Activity-Shop, can require both the VehicleW30LGas state, but also some state wherein the mall is ",Class,https://w3id.org/citydata/part1/v1/diagrams/State.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/State'>Web</a></body></html>,2026-08-12T21:21:48.524828
,Speed,speed,Speed is the time rate of motion measured by the distance moved over in unit time.,Class,https://w3id.org/citydata/part1/v1/diagrams/Speed.dot.svg,<html><body><a href='https://w3id.org/citydata/part1/v1/Speed'>Web</a></body></html>,2026-08-12T21:21:48.524828
